id_unit,t,y,lnincome,beer,age15to24,retprice,treat
Alabama,1970.0,89.8,-999.0,-999.0,0.17886178,39.6,0
Alabama,1971.0,95.4,-999.0,-999.0,0.17992784,42.7,0
Alabama,1972.0,101.1,9.498476,-999.0,0.1809938999999999,42.3,0
Alabama,1973.0,102.9,9.550107,-999.0,0.18205994,42.1,0
Alabama,1974.0,108.2,9.537163,-999.0,0.183126,43.1,0
Alabama,1975.0,111.7,9.540031,-999.0,0.18419206,46.6,0
Alabama,1976.0,116.2,9.5919075,-999.0,0.18525812,50.4,0
Alabama,1977.0,117.1,9.617496,-999.0,0.18632418,50.1,0
Alabama,1978.0,123.0,9.654072,-999.0,0.18739022,55.1,0
Alabama,1979.0,121.4,9.64918,-999.0,0.18845628,56.8,0
Alabama,1980.0,123.2,9.612194,-999.0,0.18952234,60.6,0
Alabama,1981.0,119.6,9.609594,-999.0,0.18584223,68.8,0
Alabama,1982.0,119.1,9.59758,-999.0,0.18216212,73.1,0
Alabama,1983.0,116.3,9.626769,-999.0,0.17848201,84.4,0
Alabama,1984.0,113.0,9.671621,18.0,0.1748019,90.8,0
Alabama,1985.0,114.5,9.703193,18.7,0.17112179,99.0,0
Alabama,1986.0,116.3,9.74595,19.3,0.16744168,103.0,0
Alabama,1987.0,114.0,9.762092,19.4,0.16376157,110.0,0
Alabama,1988.0,112.1,9.78177,19.4,0.16008146,114.4,0
Alabama,1989.0,105.6,9.802527,19.4,0.15640135,122.3,0
Alabama,1990.0,108.6,9.81429,20.1,0.15272124,139.1,0
Alabama,1991.0,107.9,9.81926,20.1,-999.0,144.4,0
Alabama,1992.0,109.1,9.845286,20.4,-999.0,172.2,0
Alabama,1993.0,108.5,9.85216,20.3,-999.0,176.2,0
Alabama,1994.0,107.1,9.879334,21.0,-999.0,154.6,0
Alabama,1995.0,102.6,9.924404,20.6,-999.0,155.1,0
Alabama,1996.0,101.4,9.940027,21.0,-999.0,158.3,0
Alabama,1997.0,104.9,9.93727,20.8,-999.0,167.4,0
Alabama,1998.0,106.2,-999.0,-999.0,-999.0,180.5,0
Alabama,1999.0,100.7,-999.0,-999.0,-999.0,195.6,0
Alabama,2000.0,96.2,-999.0,-999.0,-999.0,270.7,0
Arkansas,1970.0,100.3,-999.0,-999.0,0.16900676,36.7,0
Arkansas,1971.0,104.1,-999.0,-999.0,0.16995385,38.8,0
Arkansas,1972.0,103.9,9.464514,-999.0,0.17090096,44.1,0
Arkansas,1973.0,108.0,9.55683,-999.0,0.17184804,45.1,0
Arkansas,1974.0,109.7,9.542286,-999.0,0.17279513,45.5,0
Arkansas,1975.0,114.8,9.514094,-999.0,0.17374223,48.6,0
Arkansas,1976.0,119.1,9.558153,-999.0,0.17468932,50.9,0
Arkansas,1977.0,122.6,9.590923,-999.0,0.17563641,52.6,0
Arkansas,1978.0,127.3,9.657238,-999.0,0.1765835,56.5,0
Arkansas,1979.0,126.5,9.6335335,-999.0,0.1775306,58.4,0
Arkansas,1980.0,131.8,9.573803,-999.0,0.17847769,61.5,0
Arkansas,1981.0,128.7,9.593041,-999.0,0.17501111,64.7,0
Arkansas,1982.0,127.4,9.5737,-999.0,0.17154454,72.1,0
Arkansas,1983.0,128.0,9.593053,-999.0,0.16807795,82.0,0
Arkansas,1984.0,123.1,9.65044,17.9,0.16461137,93.6,0
Arkansas,1985.0,125.8,9.675527,18.1,0.1611447999999999,98.5,0
Arkansas,1986.0,126.0,9.705939,18.7,0.15767822,103.6,0
Arkansas,1987.0,122.3,9.705574,19.0,0.15421164,113.0,0
Arkansas,1988.0,121.5,9.721532,18.9,0.15074505,119.9,0
Arkansas,1989.0,118.3,9.7373705,19.0,0.14727847,127.7,0
Arkansas,1990.0,113.1,9.736311,19.9,0.1438119,141.2,0
Arkansas,1991.0,116.8,9.743068,19.9,-999.0,146.5,0
Arkansas,1992.0,126.0,9.788629,20.0,-999.0,177.3,0
Arkansas,1993.0,113.8,9.785142,19.7,-999.0,179.9,0
Arkansas,1994.0,108.8,9.813631,19.7,-999.0,168.1,0
Arkansas,1995.0,113.0,9.86446,19.5,-999.0,167.3,0
Arkansas,1996.0,110.7,9.885234,20.1,-999.0,167.1,0
Arkansas,1997.0,108.7,9.883107,19.8,-999.0,181.3,0
Arkansas,1998.0,109.5,-999.0,-999.0,-999.0,187.3,0
Arkansas,1999.0,104.8,-999.0,-999.0,-999.0,206.9,0
Arkansas,2000.0,99.4,-999.0,-999.0,-999.0,279.3,0
California,1970.0,123.0,-999.0,-999.0,0.17815833,38.8,0
California,1971.0,121.0,-999.0,-999.0,0.17929636,39.7,0
California,1972.0,123.5,9.930814,-999.0,0.18043439,39.9,0
California,1973.0,124.4,9.955092,-999.0,0.18157241,39.9,0
California,1974.0,126.7,9.947999,-999.0,0.18271044,41.9,0
